Date,Open,High,Low,Close,Adj Close,Volume
2014-08-21,60050.000000,61600.000000,59625.000000,60275.000000,60275.000000,2800
2014-08-22,60100.000000,62225.000000,59000.000000,59750.000000,59750.000000,3600
2014-08-25,58400.000000,59450.000000,57800.000000,58550.000000,58550.000000,2500
2014-08-26,58550.000000,59975.000000,58300.000000,59575.000000,59575.000000,1900
2014-08-27,59850.000000,61400.000000,59225.000000,60275.000000,60275.000000,2200
2014-08-28,63825.000000,64200.000000,61200.000000,62475.000000,62475.000000,2900
2014-08-29,61125.000000,62925.000000,60675.000000,61525.000000,61525.000000,3600
2014-09-02,61375.000000,63300.000000,60950.000000,62375.000000,62375.000000,2300
2014-09-03,60350.000000,62300.000000,60250.000000,60900.000000,60900.000000,2800
2014-09-04,59975.000000,62425.000000,58400.000000,61075.000000,61075.000000,3700
2014-09-05,60425.000000,62375.000000,58400.000000,58550.000000,58550.000000,3500
2014-09-08,58900.000000,60250.000000,58375.000000,58875.000000,58875.000000,2700
2014-09-09,59500.000000,62625.000000,59425.000000,61900.000000,61900.000000,3300
2014-09-10,62200.000000,64450.000000,60500.000000,61175.000000,61175.000000,3200
2014-09-11,63375.000000,63800.000000,60675.000000,60800.000000,60800.000000,2800
2014-09-12,61125.000000,65475.000000,60925.000000,63550.000000,63550.000000,4200
2014-09-15,64050.000000,67475.000000,63950.000000,66650.000000,66650.000000,3600
2014-09-16,68100.000000,68300.000000,59775.000000,60200.000000,60200.000000,4700
2014-09-17,59550.000000,60550.000000,56475.000000,59050.000000,59050.000000,5100
2014-09-18,58175.000000,58750.000000,57175.000000,57225.000000,57225.000000,2800
2014-09-19,56050.000000,58850.000000,55550.000000,57400.000000,57400.000000,4600
2014-09-22,58600.000000,62200.000000,58425.000000,61400.000000,61400.000000,5600
2014-09-23,64275.000000,65875.000000,61925.000000,65875.000000,65875.000000,4500
2014-09-24,65000.000000,66225.000000,61200.000000,61400.000000,61400.000000,3600
2014-09-25,62550.000000,72400.000000,62500.000000,70575.000000,70575.000000,9100
2014-09-26,69400.000000,70150.000000,64375.000000,65800.000000,65800.000000,4500
2014-09-29,73025.000000,74600.000000,68875.000000,72350.000000,72350.000000,4600
2014-09-30,72850.000000,75275.000000,70000.000000,74075.000000,74075.000000,4200
2014-10-01,74125.000000,81200.000000,73800.000000,77450.000000,77450.000000,5000
2014-10-02,78100.000000,82600.000000,72925.000000,75825.000000,75825.000000,5100
2014-10-03,70750.000000,71625.000000,64925.000000,66600.000000,66600.000000,4400
2014-10-06,63475.000000,69225.000000,62125.000000,68700.000000,68700.000000,3800
2014-10-07,71825.000000,78450.000000,71350.000000,78225.000000,78225.000000,5300
2014-10-08,78950.000000,80475.000000,64500.000000,65150.000000,65150.000000,6000
2014-10-09,66625.000000,77025.000000,65750.000000,76525.000000,76525.000000,6100
2014-10-10,77450.000000,94125.000000,74300.000000,93975.000000,93975.000000,9200
2014-10-13,90450.000000,113750.000000,87375.000000,113175.000000,113175.000000,10100
2014-10-14,106550.000000,117850.000000,94800.000000,109075.000000,109075.000000,9800
2014-10-15,123375.000000,137750.000000,110000.000000,111400.000000,111400.000000,9400
2014-10-16,138825.000000,140700.000000,109150.000000,114850.000000,114850.000000,8100
2014-10-17,98775.000000,109575.000000,95175.000000,104675.000000,104675.000000,7500
2014-10-20,106100.000000,107175.000000,88325.000000,88925.000000,88925.000000,5300
2014-10-21,82050.000000,83250.000000,74550.000000,75525.000000,75525.000000,6300
2014-10-22,74025.000000,87575.000000,72275.000000,87000.000000,87000.000000,7900
2014-10-23,76550.000000,80000.000000,72775.000000,77375.000000,77375.000000,7600
2014-10-24,77175.000000,85800.000000,74500.000000,75550.000000,75550.000000,5700
2014-10-27,77925.000000,80625.000000,72675.000000,73475.000000,73475.000000,5000
2014-10-28,71250.000000,71475.000000,63750.000000,63850.000000,63850.000000,6100
2014-10-29,64025.000000,69500.000000,63275.000000,65650.000000,65650.000000,7000
2014-10-30,68550.000000,70600.000000,63500.000000,66025.000000,66025.000000,5700
2014-10-31,62100.000000,64950.000000,61850.000000,62750.000000,62750.000000,4200
2014-11-03,62700.000000,66250.000000,62000.000000,64775.000000,64775.000000,4100
2014-11-04,65875.000000,69375.000000,63575.000000,64000.000000,64000.000000,5900
2014-11-05,61675.000000,64725.000000,61525.000000,62275.000000,62275.000000,3300
2014-11-06,61500.000000,63825.000000,58600.000000,59150.000000,59150.000000,4900
2014-11-07,58925.000000,60300.000000,57150.000000,57450.000000,57450.000000,4800
2014-11-10,56875.000000,57125.000000,52200.000000,53150.000000,53150.000000,5900
2014-11-11,52400.000000,55075.000000,51900.000000,52975.000000,52975.000000,4200
2014-11-12,55425.000000,55625.000000,53100.000000,54150.000000,54150.000000,3800
2014-11-13,54625.000000,58600.000000,53200.000000,55450.000000,55450.000000,6100
2014-11-14,56075.000000,58125.000000,55400.000000,55725.000000,55725.000000,4000
2014-11-17,56775.000000,57600.000000,54375.000000,55575.000000,55575.000000,4100
2014-11-18,54800.000000,54900.000000,52250.000000,53450.000000,53450.000000,3800
2014-11-19,54875.000000,57200.000000,54450.000000,56125.000000,56125.000000,4100
2014-11-20,58250.000000,58500.000000,54550.000000,55200.000000,55200.000000,2800
2014-11-21,51750.000000,53775.000000,51700.000000,52850.000000,52850.000000,3600
2014-11-24,51925.000000,52350.000000,50425.000000,50425.000000,50425.000000,3500
2014-11-25,50150.000000,51325.000000,49525.000000,50050.000000,50050.000000,3400
2014-11-26,49950.000000,50125.000000,47950.000000,48125.000000,48125.000000,3600
2014-11-28,48600.000000,51025.000000,47950.000000,50725.000000,50725.000000,2500
2014-12-01,52800.000000,56000.000000,52425.000000,55050.000000,55050.000000,5500
2014-12-02,54800.000000,54800.000000,48675.000000,48900.000000,48900.000000,4500
2014-12-03,47600.000000,48275.000000,46750.000000,47100.000000,47100.000000,2800
2014-12-04,48250.000000,50000.000000,46250.000000,47275.000000,47275.000000,5000
2014-12-05,45750.000000,46375.000000,44050.000000,45675.000000,45675.000000,5600
2014-12-08,46150.000000,50100.000000,44675.000000,48975.000000,48975.000000,6300
2014-12-09,54175.000000,55950.000000,49350.000000,50050.000000,50050.000000,8700
2014-12-10,52200.000000,61050.000000,51750.000000,60900.000000,60900.000000,8300
2014-12-11,59125.000000,68275.000000,53925.000000,67950.000000,67950.000000,10100
2014-12-12,73925.000000,76175.000000,66600.000000,75200.000000,75200.000000,11600
2014-12-15,68450.000000,77500.000000,64700.000000,71975.000000,71975.000000,11400
2014-12-16,75200.000000,78750.000000,63550.000000,78375.000000,78375.000000,9900
2014-12-17,80500.000000,80700.000000,61575.000000,62150.000000,62150.000000,9100
2014-12-18,56225.000000,61875.000000,55750.000000,58475.000000,58475.000000,7000
2014-12-19,57900.000000,59675.000000,55650.000000,57375.000000,57375.000000,4400
2014-12-22,54125.000000,55000.000000,51750.000000,51750.000000,51750.000000,5200
2014-12-23,51175.000000,54250.000000,51125.000000,52050.000000,52050.000000,3600
2014-12-24,50900.000000,52000.000000,50550.000000,51025.000000,51025.000000,1500
2014-12-26,51125.000000,52625.000000,50375.000000,52175.000000,52175.000000,2300
2014-12-29,52550.000000,53150.000000,50975.000000,51550.000000,51550.000000,3300
2014-12-30,53325.000000,54850.000000,51950.000000,54250.000000,54250.000000,3300
2014-12-31,53750.000000,64875.000000,53375.000000,62875.000000,62875.000000,5700
2015-01-02,58600.000000,68050.000000,57275.000000,60825.000000,60825.000000,8300
2015-01-05,64200.000000,71675.000000,63625.000000,69575.000000,69575.000000,8500
2015-01-06,68975.000000,78000.000000,67125.000000,72675.000000,72675.000000,10900
2015-01-07,68550.000000,71750.000000,66175.000000,68075.000000,68075.000000,7100
2015-01-08,62950.000000,63400.000000,58900.000000,59700.000000,59700.000000,6000
2015-01-09,58150.000000,65050.000000,58100.000000,63925.000000,63925.000000,7600
2015-01-12,65000.000000,73400.000000,64525.000000,69975.000000,69975.000000,8000
2015-01-13,66750.000000,77875.000000,65050.000000,74125.000000,74125.000000,11000
2015-01-14,81250.000000,82500.000000,76175.000000,76925.000000,76925.000000,9500
2015-01-15,75200.000000,81950.000000,72975.000000,81500.000000,81500.000000,10200
2015-01-16,81750.000000,85025.000000,76350.000000,78050.000000,78050.000000,8100
2015-01-20,73575.000000,81975.000000,73250.000000,76725.000000,76725.000000,7400
2015-01-21,78625.000000,80525.000000,69250.000000,69450.000000,69450.000000,8400
2015-01-22,65450.000000,70650.000000,60300.000000,60550.000000,60550.000000,8100
2015-01-23,62175.000000,64050.000000,58700.000000,63425.000000,63425.000000,5500
2015-01-26,62375.000000,64875.000000,57750.000000,57800.000000,57800.000000,6800
2015-01-27,63375.000000,64575.000000,59125.000000,62700.000000,62700.000000,9900
2015-01-28,59725.000000,74275.000000,59625.000000,73000.000000,73000.000000,13500
2015-01-29,72725.000000,77925.000000,66700.000000,67825.000000,67825.000000,10000
2015-01-30,71650.000000,81775.000000,68975.000000,80900.000000,80900.000000,14100
2015-02-02,75975.000000,83300.000000,72575.000000,72575.000000,72575.000000,12900
2015-02-03,70200.000000,71450.000000,65325.000000,65800.000000,65800.000000,8400
2015-02-04,67475.000000,70075.000000,63600.000000,69450.000000,69450.000000,10200
2015-02-05,67700.000000,67750.000000,63225.000000,64025.000000,64025.000000,7700
2015-02-06,62525.000000,72450.000000,61700.000000,69500.000000,69500.000000,12800
2015-02-09,72250.000000,73375.000000,69775.000000,70400.000000,70400.000000,9500
2015-02-10,67025.000000,69750.000000,64200.000000,65075.000000,65075.000000,8200
2015-02-11,66275.000000,68075.000000,65275.000000,65650.000000,65650.000000,7100
2015-02-12,62675.000000,63400.000000,57500.000000,57950.000000,57950.000000,9200
2015-02-13,57375.000000,59550.000000,55875.000000,56425.000000,56425.000000,8300
2015-02-17,57500.000000,58400.000000,55900.000000,56700.000000,56700.000000,6000
2015-02-18,58125.000000,58350.000000,55325.000000,55825.000000,55825.000000,6500
2015-02-19,56950.000000,57175.000000,53275.000000,53425.000000,53425.000000,5700
2015-02-20,55450.000000,56125.000000,48750.000000,49525.000000,49525.000000,10000
2015-02-23,50575.000000,51175.000000,49425.000000,49875.000000,49875.000000,4800
